Track,Date,Race Number,Breed of Race,Distance,About Distance Indicator,Surface,Off Turf Indicator,Course Type,Race Type,Abbreviated Race Conditions,Race Name,Sex Restriction,Age Restriction,Statebred Restriction,Purse,Maximum Claiming Price,Minimum Claiming Price,Grade,Division,Number of Starters,Track Condition,Weather,Post Time,Temp Rail Distance,Chute Start Indicator,Track Sealed Indicator,Race F1 Time,Race F2 Time,Race F3 Time,Race F4 Time,Race F5 Time,Race Winning Time,WPS Combined Pool,Run Up Distance,Downhill Turf Indicator,Number of turns in race,Number of turns in race (decimal),Field 39,Field 40,Field 41,Field 42,Field 43,Field 44,Field 45,Field 46,Field 47,Field 48,Field 49,Field 50,Horse Name,Horse Age,Horse Sex,Medication,Equipment,Weight Carried,Claiming Price,Earnings,Program Number,Coupled Type,Morning Line Odds,Final Tote Odds,Favorite Indicator,Non-Betting Indicator,Win Mutuel Paid,Place Mutuel Paid,Show Mutuel Paid,Post Position,Position at Start Call,Position at Call 1,Position at Call 2,Position at Call 3,Position at Call 4,Position at Call 5,Position at Finish,Official Finish Position,Call 1 Lengths Behind,Call 2 Lengths Behind,Call 3 Lengths Behind,Call 4 Lengths Behind,Stretch Call Lengths Behind,Finish Lengths Behind,Comment Line,Trainer First Name,Trainer Middle Name,Trainer Last Name,Jockey First Name,Jockey Middle Name,Jockey Last Name,Apprentice Wgt Allowance,Owner Full Name,Claimed Indicator,Claiming Trainer First Name,Claiming Trainer Middle Name,Claiming Trainer Last Name,Claiming Owner Full Name,Scratch Indicator,Reason for Scratch,Last Race Track,Last Race Date,Last Race Race Number,Last Race Finish Position,Long Comment Line,Sire,Dam,DamSire,Foaling Date,Foaling Area,Horse Weight,Number of Claims Submitted,Void Indicator,Void Reason,Breeder,Color,Jockey ID,Trainer ID,Field 117,Field 118,Field 119,Field 120,Field 121,Field 122,Field 123,Field 124,Field 125,Field 126,Field 127,Field 128,Field 129,Field 130,#1 Wager Type,#1 Wager Unit,#1 Number Right,#1 Wager Payout,#1 Winning Pgm Numbers,#1 Total Pool,#2 Wager Type,#2 Wager Unit,#2 Number Right,#2 Wager Payout,#2 Winning Pgm Numbers,#2 Total Pool,#3 Wager Type,#3 Wager Unit,#3 Number Right,#3 Wager Payout,#3 Winning Pgm Numbers,#3 Total Pool,#4 Wager Type,#4 Wager Unit,#4 Number Right,#4 Wager Payout,#4 Winning Pgm Numbers,#4 Total Pool,#5 Wager Type,#5 Wager Unit,#5 Number Right,#5 Wager Payout,#5 Winning Pgm Numbers,#5 Total Pool,#6 Wager Type,#6 Wager Unit,#6 Number Right,#6 Wager Payout,#6 Winning Pgm Numbers,#6 Total Pool,#7 Wager Type,#7 Wager Unit,#7 Number Right,#7 Wager Payout,#7 Winning Pgm Numbers,#7 Total Pool,#8 Wager Type,#8 Wager Unit,#8 Number Right,#8 Wager Payout,#8 Winning Pgm Numbers,#8 Total Pool,#9 Wager Type,#9 Wager Unit,#9 Number Right,#9 Wager Payout,#9 Winning Pgm Numbers,#9 Total Pool,#10 Wager Type,#10 Wager Unit,#10 Number Right,#10 Wager Payout,#10 Winning Pgm Numbers,#10 Total Pool,#11 Wager Type,#11 Wager Unit,#11 Number Right,#11 Wager Payout,#11 Winning Pgm Numbers,#11 Total Pool,#12 Wager Type,#12 Wager Unit,#12 Number Right,#12 Wager Payout,#12 Winning Pgm Numbers,#12 Total Pool,#13 Wager Type,#13 Wager Unit,#13 Number Right,#13 Wager Payout,#13 Winning Pgm Numbers,#13 Total Pool,#14 Wager Type,#14 Wager Unit,#14 Number Right,#14 Wager Payout,#14 Winning Pgm Numbers,#14 Total Pool,#15 Wager Type,#15 Wager Unit,#15 Number Right,#15 Wager Payout,#15 Winning Pgm Numbers,#15 Total Pool,#16 Wager Type,#16 Wager Unit,#16 Number Right,#16 Wager Payout,#16 Winning Pgm Numbers,#16 Total Pool,#17 Wager Type,#17 Wager Unit,#17 Number Right,#17 Wager Payout,#17 Winning Pgm Numbers,#17 Total Pool,#18 Wager Type,#18 Wager Unit,#18 Number Right,#18 Wager Payout,#18 Winning Pgm Numbers,#18 Total Pool,#19 Wager Type,#19 Wager Unit,#19 Number Right,#19 Wager Payout,#19 Winning Pgm Numbers,#19 Total Pool
TAM,03/18/2026,1,Thoroughbred,5.50,,Dirt,,Main Course,Maiden Claiming,,,,3 year olds & up,,20000,10000,8000,,,7,Fast,Clear,12:24,,,,22.690,46.290,58.880,,,65.460,56849,50,,1,1,,,,,,,,,,,,,Fire Baron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Stewards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Exacta,1.00,,65.20,5-7,42115.00,Superfecta,.10,,35.97,5-7-1-9,16412.00,Trifecta,.50,,111.85,5-7-1,20980.00,X-5 Super Hi-5,1.00,,,5-7-1-9-6,3829.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAM,03/18/2026,1,Thoroughbred,5.50,,Dirt,,Main Course,Maiden Claiming,,,,3 year olds & up,,20000,10000,8000,,,7,Fast,Clear,12:24,,,,22.690,46.290,58.880,,,65.460,56849,50,,1,1,,,,,,,,,,,,,Playing With Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Stewards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Exacta,1.00,,65.20,5-7,42115.00,Superfecta,.10,,35.97,5-7-1-9,16412.00,Trifecta,.50,,111.85,5-7-1,20980.00,X-5 Super Hi-5,1.00,,,5-7-1-9-6,3829.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAM,03/18/2026,1,Thoroughbred,5.50,,Dirt,,Main Course,Maiden Claiming,,,,3 year olds & up,,20000,10000,8000,,,7,Fast,Clear,12:24,,,,22.690,46.290,58.880,,,65.460,56849,50,,1,1,,,,,,,,,,,,,Oh' What a Day,4,G,L,Blinkers,125,10000,12150,5,,6,13.3,,,28.6,10.2,6.2,3,5,4,4,,,2,1,1,2.00,2.50,,,.10,,"track ins,held",Gerald,S.,Bennett,Martina,,Rojas,,"Winning Stables, Inc.",,,,,,,,GP,07/11/2025,6,5,"tracked ins,took command str,held sway",Gunnevera,Day by Day,Awesome of Course,02/10/2022,FL,,,,,Mr. & Mrs. Gerald and Mary Bennett,CH,3050655,2991,,,,,,,,,,,,,,,Exacta,1.00,,65.20,5-7,42115.00,Superfecta,.10,,35.97,5-7-1-9,16412.00,Trifecta,.50,,111.85,5-7-1,20980.00,X-5 Super Hi-5,1.00,,,5-7-1-9-6,3829.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAM,03/18/2026,1,Thoroughbred,5.50,,Dirt,,Main Course,Maiden Claiming,,,,3 year olds & up,,20000,10000,8000,,,7,Fast,Clear,12:24,,,,22.690,46.290,58.880,,,65.460,56849,50,,1,1,,,,,,,,,,,,,Johnny Bolt,4,G,L,Blinkers,125,10000,3885,7,,4,3.3,,,,4.6,3.6,5,4,5,5,,,3,2,2,2.50,2.60,,,1.10,.25,"3w,4w 1/4,late rally",Scott,,Becker,Samuel,,Marin,,"Ritter, Charles W. and Becker, Scott",,,,,,,,TAM,02/28/2026,5,6,"3w,4w upper,late rally,just short",Bolt d'Oro,Beautiful Becca,Elusive Quality,04/27/2022,KY,,,,,Ruis Racing LLC,B,171282,268217,,,,,,,,,,,,,,,Exacta,1.00,,65.20,5-7,42115.00,Superfecta,.10,,35.97,5-7-1-9,16412.00,Trifecta,.50,,111.85,5-7-1,20980.00,X-5 Super Hi-5,1.00,,,5-7-1-9-6,3829.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAM,03/18/2026,1,Thoroughbred,5.50,,Dirt,,Main Course,Maiden Claiming,,,,3 year olds & up,,20000,10000,8000,,,7,Fast,Clear,12:24,,,,22.690,46.290,58.880,,,65.460,56849,50,,1,1,,,,,,,,,,,,,Arrow Ghost,5,G,L,BF,125,10000,1850,1,,8,4.5,,,,,3.8,1,2,1,1,,,1,3,3,,,,,,2.50,"2w, 4-3w upper,wknd",Martin,,Paramo,Sara,,Hess,,Shannon Colson,,,,,,,,TAM,02/28/2026,5,2,"pressured pace 2w,4-3w upper,",Lord Nelson,Kickin Kimberly,Eskendereya,03/24/2021,KY,,,,,"Haymarket Farm LLC ,Kelly T. Jackson & J. Brian Lyle & Theresa M. Fike DVM",CH,2944363,277233,,,,,,,,,,,,,,,Exacta,1.00,,65.20,5-7,42115.00,Superfecta,.10,,35.97,5-7-1-9,16412.00,Trifecta,.50,,111.85,5-7-1,20980.00,X-5 Super Hi-5,1.00,,,5-7-1-9-6,3829.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAM,03/18/2026,1,Thoroughbred,5.50,,Dirt,,Main Course,Maiden Claiming,,,,3 year olds & up,,20000,10000,8000,,,7,Fast,Clear,12:24,,,,22.690,46.290,58.880,,,65.460,56849,50,,1,1,,,,,,,,,,,,,Vino's Valentine,4,H,L,Blinkers,125,10000,1110,9,,1.2,0.8,Y,,,,,7,6,6,6,,,6,4,4,7.00,8.10,,,5.60,2.60,"brk out,widest,mildly",Angel,M.,Rodriguez,Gaddiel,A.,Martinez,,Roger B. Sterling,,,,,,,,GP,03/05/2026,1,3,"brk out,distanced early, 3w,widest upper,mildly",Vino Rosso,Defining Moment,Kantharos,02/14/2022,FL,,,,,"G Gagliardi, K Nielsen, J Tipps & Maharg Mang. Inc.",B,165575,266485,,,,,,,,,,,,,,,Exacta,1.00,,65.20,5-7,42115.00,Superfecta,.10,,35.97,5-7-1-9,16412.00,Trifecta,.50,,111.85,5-7-1,20980.00,X-5 Super Hi-5,1.00,,,5-7-1-9-6,3829.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAM,03/18/2026,1,Thoroughbred,5.50,,Dirt,,Main Course,Maiden Claiming,,,,3 year olds & up,,20000,10000,8000,,,7,Fast,Clear,12:24,,,,22.690,46.290,58.880,,,65.460,56849,50,,1,1,,,,,,,,,,,,,Dave Did It,6,G,L,BF,125,10000,185,6,,12,14,,,,,,4,1,2,2,,,4,5,5,.50,1.00,,,1.60,5.10,"prssd 4w,6w1/4,no kick",Monica,,McGoey,Samy,,Camacho,,Randolph J. Guill,,,,,,,,TAM,03/08/2026,1,7,"pressed early 4w,5-6w upper,slight drift,no kick",Can the Man,Flirt Ina Skirt,Pikepass,05/06/2020,KY,,,,,Barr Inman,DK B/,148476,964236,,,,,,,,,,,,,,,Exacta,1.00,,65.20,5-7,42115.00,Superfecta,.10,,35.97,5-7-1-9,16412.00,Trifecta,.50,,111.85,5-7-1,20980.00,X-5 Super Hi-5,1.00,,,5-7-1-9-6,3829.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAM,03/18/2026,1,Thoroughbred,5.50,,Dirt,,Main Course,Maiden Claiming,,,,3 year olds & up,,20000,10000,8000,,,7,Fast,Clear,12:24,,,,22.690,46.290,58.880,,,65.460,56849,50,,1,1,,,,,,,,,,,,,Soul Stealer,3,F,L,Blinkers,106,10000,185,8,,30,32.6,,,,,,6,3,3,3,,,5,6,6,1.50,2.00,,,3.10,9.60,"trackd 5w,7w 1/4,faded",Dennis,,Ward,Victor,,Lara,Apprentice Type 2 (7 lbs),Joanna Reisler,,,,,,,,TAM,02/27/2026,8,9,"tracked lead 5w, 7w upper,faded",Three Rules,Everywhereilook,Pollard's Vision,04/03/2023,FL,,,,,Joanna Reisler & Robert G Smith,DK B/,176443,6374,,,,,,,,,,,,,,,Exacta,1.00,,65.20,5-7,42115.00,Superfecta,.10,,35.97,5-7-1-9,16412.00,Trifecta,.50,,111.85,5-7-1,20980.00,X-5 Super Hi-5,1.00,,,5-7-1-9-6,3829.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAM,03/18/2026,1,Thoroughbred,5.50,,Dirt,,Main Course,Maiden Claiming,,,,3 year olds & up,,20000,10000,8000,,,7,Fast,Clear,12:24,,,,22.690,46.290,58.880,,,65.460,56849,50,,1,1,,,,,,,,,,,,,Sonny the Great,3,C,L,Blinkers,118,10000,185,3,,20,12,,,,,,2,7,7,7,,,7,7,7,25.00,38.10,,,45.60,56.35,"off slow,trailed",Abraham,,Gardea,Joseph,,Trejos,,Next Level Stables,,,,,,,,,,,,"off slow,trailed",Raging Bull (FR),General Consensus,Giant's Causeway,02/03/2023,KY,,,,,Sierra Farm,B,167566,962670,,,,,,,,,,,,,,,Exacta,1.00,,65.20,5-7,42115.00,Superfecta,.10,,35.97,5-7-1-9,16412.00,Trifecta,.50,,111.85,5-7-1,20980.00,X-5 Super Hi-5,1.00,,,5-7-1-9-6,3829.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAM,03/18/2026,2,Thoroughbred,6.00,,Dirt,,Main Course,Claiming,,,,3 year olds,,32500,20000,20000,,,6,Fast,Clear,12:56,,,,22.790,45.890,58.340,,,71.380,75198,50,,1,1,,,,,,,,,,,,,Super Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Veterinarian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daily Double,1.00,,32.20,5-7,23354.00,Exacta,1.00,,4.40,7-5,54630.00,Superfecta,.10,,3.35,7-5-3-1,18280.00,Trifecta,.50,,8.25,7-5-3,31609.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
