Track,Date,Race Number,Breed of Race,Distance,About Distance Indicator,Surface,Off Turf Indicator,Course Type,Race Type,Abbreviated Race Conditions,Race Name,Sex Restriction,Age Restriction,Statebred Restriction,Purse,Maximum Claiming Price,Minimum Claiming Price,Grade,Division,Number of Starters,Track Condition,Weather,Post Time,Temp Rail Distance,Chute Start Indicator,Track Sealed Indicator,Race F1 Time,Race F2 Time,Race F3 Time,Race F4 Time,Race F5 Time,Race Winning Time,WPS Combined Pool,Run Up Distance,Downhill Turf Indicator,Number of turns in race,Number of turns in race (decimal),Field 39,Field 40,Field 41,Field 42,Field 43,Field 44,Field 45,Field 46,Field 47,Field 48,Field 49,Field 50,Horse Name,Horse Age,Horse Sex,Medication,Equipment,Weight Carried,Claiming Price,Earnings,Program Number,Coupled Type,Morning Line Odds,Final Tote Odds,Favorite Indicator,Non-Betting Indicator,Win Mutuel Paid,Place Mutuel Paid,Show Mutuel Paid,Post Position,Position at Start Call,Position at Call 1,Position at Call 2,Position at Call 3,Position at Call 4,Position at Call 5,Position at Finish,Official Finish Position,Call 1 Lengths Behind,Call 2 Lengths Behind,Call 3 Lengths Behind,Call 4 Lengths Behind,Stretch Call Lengths Behind,Finish Lengths Behind,Comment Line,Trainer First Name,Trainer Middle Name,Trainer Last Name,Jockey First Name,Jockey Middle Name,Jockey Last Name,Apprentice Wgt Allowance,Owner Full Name,Claimed Indicator,Claiming Trainer First Name,Claiming Trainer Middle Name,Claiming Trainer Last Name,Claiming Owner Full Name,Scratch Indicator,Reason for Scratch,Last Race Track,Last Race Date,Last Race Race Number,Last Race Finish Position,Long Comment Line,Sire,Dam,DamSire,Foaling Date,Foaling Area,Horse Weight,Number of Claims Submitted,Void Indicator,Void Reason,Breeder,Color,Jockey ID,Trainer ID,Field 117,Field 118,Field 119,Field 120,Field 121,Field 122,Field 123,Field 124,Field 125,Field 126,Field 127,Field 128,Field 129,Field 130,#1 Wager Type,#1 Wager Unit,#1 Number Right,#1 Wager Payout,#1 Winning Pgm Numbers,#1 Total Pool,#2 Wager Type,#2 Wager Unit,#2 Number Right,#2 Wager Payout,#2 Winning Pgm Numbers,#2 Total Pool,#3 Wager Type,#3 Wager Unit,#3 Number Right,#3 Wager Payout,#3 Winning Pgm Numbers,#3 Total Pool,#4 Wager Type,#4 Wager Unit,#4 Number Right,#4 Wager Payout,#4 Winning Pgm Numbers,#4 Total Pool,#5 Wager Type,#5 Wager Unit,#5 Number Right,#5 Wager Payout,#5 Winning Pgm Numbers,#5 Total Pool,#6 Wager Type,#6 Wager Unit,#6 Number Right,#6 Wager Payout,#6 Winning Pgm Numbers,#6 Total Pool,#7 Wager Type,#7 Wager Unit,#7 Number Right,#7 Wager Payout,#7 Winning Pgm Numbers,#7 Total Pool,#8 Wager Type,#8 Wager Unit,#8 Number Right,#8 Wager Payout,#8 Winning Pgm Numbers,#8 Total Pool,#9 Wager Type,#9 Wager Unit,#9 Number Right,#9 Wager Payout,#9 Winning Pgm Numbers,#9 Total Pool,#10 Wager Type,#10 Wager Unit,#10 Number Right,#10 Wager Payout,#10 Winning Pgm Numbers,#10 Total Pool,#11 Wager Type,#11 Wager Unit,#11 Number Right,#11 Wager Payout,#11 Winning Pgm Numbers,#11 Total Pool,#12 Wager Type,#12 Wager Unit,#12 Number Right,#12 Wager Payout,#12 Winning Pgm Numbers,#12 Total Pool,#13 Wager Type,#13 Wager Unit,#13 Number Right,#13 Wager Payout,#13 Winning Pgm Numbers,#13 Total Pool,#14 Wager Type,#14 Wager Unit,#14 Number Right,#14 Wager Payout,#14 Winning Pgm Numbers,#14 Total Pool,#15 Wager Type,#15 Wager Unit,#15 Number Right,#15 Wager Payout,#15 Winning Pgm Numbers,#15 Total Pool,#16 Wager Type,#16 Wager Unit,#16 Number Right,#16 Wager Payout,#16 Winning Pgm Numbers,#16 Total Pool,#17 Wager Type,#17 Wager Unit,#17 Number Right,#17 Wager Payout,#17 Winning Pgm Numbers,#17 Total Pool,#18 Wager Type,#18 Wager Unit,#18 Number Right,#18 Wager Payout,#18 Winning Pgm Numbers,#18 Total Pool,#19 Wager Type,#19 Wager Unit,#19 Number Right,#19 Wager Payout,#19 Winning Pgm Numbers,#19 Total Pool
AQU,03/22/2026,1,Thoroughbred,6.00,,Dirt,,Main Course,Maiden Claiming,,,,3 year olds & up,Y,40000,35000,35000,,,5,Fast,Clear,1:12,,,,22.720,46.170,58.320,,,71.440,190813,50,,1,1,,,,,,,,,,,,,Stevie Wonderful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,PrivVet - Illness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Exacta,1.00,,3.23,5-1,75460.00,Superfecta,.10,,.92,5-1-4-6,22874.00,Trifecta,.50,,2.49,5-1-4,39075.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AQU,03/22/2026,1,Thoroughbred,6.00,,Dirt,,Main Course,Maiden Claiming,,,,3 year olds & up,Y,40000,35000,35000,,,5,Fast,Clear,1:12,,,,22.720,46.170,58.320,,,71.440,190813,50,,1,1,,,,,,,,,,,,,Projectability,4,G,L,Blinkers,126,35000,22000,5,,1,0.56,Y,,3.12,2.1,2.1,4,2,3,2,,,1,1,1,2.00,.10,,,,,"out,bid 4-3p trn,dueld",Linda,,Rice,Jaime,,Rodriguez,,Linda Rice,,,,,,,,AQU,03/01/2026,4,2,"chased outside,bid 4-3path turn,dueled,brushed,proved best",Street Boss,Royale Rose,Macho Uno,03/16/2022,NY,,,,,Don M. Robinson & Christophe Clement,B,138976,1553,,,,,,,,,,,,,,,Exacta,1.00,,3.23,5-1,75460.00,Superfecta,.10,,.92,5-1-4-6,22874.00,Trifecta,.50,,2.49,5-1-4,39075.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AQU,03/22/2026,1,Thoroughbred,6.00,,Dirt,,Main Course,Maiden Claiming,,,,3 year olds & up,Y,40000,35000,35000,,,5,Fast,Clear,1:12,,,,22.720,46.170,58.320,,,71.440,190813,50,,1,1,,,,,,,,,,,,,El Paco,3,C,L,,120,35000,8000,1,,4,1.7,,,,2.9,2.18,1,4,1,1,,,2,2,2,,,,,.10,1.25,lost crop outside 1/16,Michael,J.,Maker,Manuel,,Franco,,KimDon Racing LLC,,,,,,,,TAM,02/21/2026,5,5,"bmpd brk,pace,asked 2path turn,dueled,lost crop out1/16,missed",Redesdale,My Alluring Lady,Runhappy,02/27/2023,NY,,,,,Pamela Dee Zielinski,DK B/,150157,29986,,,,,,,,,,,,,,,Exacta,1.00,,3.23,5-1,75460.00,Superfecta,.10,,.92,5-1-4-6,22874.00,Trifecta,.50,,2.49,5-1-4,39075.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AQU,03/22/2026,1,Thoroughbred,6.00,,Dirt,,Main Course,Maiden Claiming,,,,3 year olds & up,Y,40000,35000,35000,,,5,Fast,Clear,1:12,,,,22.720,46.170,58.320,,,71.440,190813,50,,1,1,,,,,,,,,,,,,Major Bourbon,3,G,L,Blinkers,120,35000,4800,4,,8,7.01,,,,,2.1,3,3,5,4,,,4,3,3,2.60,6.60,,,6.20,3.25,"bmp st,ins trn,mvd out",Mark,A.,Hennig,Reylu,,Gutierrez,,"Bourbon Lane Stable (J. Hill, M. McMahon), Lynn, Wayne, Battle Royale Racing, Co",,,,,,,,AQU,02/15/2026,5,4,"bmpd brk,angled in,urged,inside turn,mvd out,willingly for 3rd",Vekoma,Underfunded,Scat Daddy,04/29/2023,NY,,,,,"Spruce Lane Farm, J. Gardella, Mashnee Stables LLC, K. Stivers et al",B,162067,22670,,,,,,,,,,,,,,,Exacta,1.00,,3.23,5-1,75460.00,Superfecta,.10,,.92,5-1-4-6,22874.00,Trifecta,.50,,2.49,5-1-4,39075.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AQU,03/22/2026,1,Thoroughbred,6.00,,Dirt,,Main Course,Maiden Claiming,,,,3 year olds & up,Y,40000,35000,35000,,,5,Fast,Clear,1:12,,,,22.720,46.170,58.320,,,71.440,190813,50,,1,1,,,,,,,,,,,,,Klimt Master,4,G,L,Blinkers,126,35000,2400,6,,30,65.79,,,,,,5,1,4,3,,,3,4,4,2.50,5.10,,,6.10,8.00,"outside,5-4p trn,tired",Eduardo,E.,Jones,Favinho,,Villa Pino,,Eduardo E. Jones,,,,,,,,AQU,03/13/2026,1,4,"urged along outside,chased 5-4path turn,tired",Klimt,Nightengale Miss,High Cotton,03/01/2022,NY,,,,,"Rockridge Stud, LLC",DK B/,159436,277758,,,,,,,,,,,,,,,Exacta,1.00,,3.23,5-1,75460.00,Superfecta,.10,,.92,5-1-4-6,22874.00,Trifecta,.50,,2.49,5-1-4,39075.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AQU,03/22/2026,1,Thoroughbred,6.00,,Dirt,,Main Course,Maiden Claiming,,,,3 year olds & up,Y,40000,35000,35000,,,5,Fast,Clear,1:12,,,,22.720,46.170,58.320,,,71.440,190813,50,,1,1,,,,,,,,,,,,,Juniors Pal,3,G,L,,120,35000,1600,3,,8,22.29,,,,,,2,5,2,5,,,5,5,5,1.00,7.10,,,12.70,20.25,"bmp btwn brk,3-2p turn",Ronald,,"Breed, Jr.",Oscar,,Gomez,,"Spedale Family Racing, LLC, Nick Family Racing, LLC and J.A. Racing, LLC",,,,,,,,FL,08/11/2025,3,6,"bumped btwn brk,chased,3-2path turn,drop back5/16,retreated",Venezuelan Hug,Silver Palace,Palace Malice,03/11/2023,NY,,,,,Spedale Racing LLC,GR/RO,85998,945461,,,,,,,,,,,,,,,Exacta,1.00,,3.23,5-1,75460.00,Superfecta,.10,,.92,5-1-4-6,22874.00,Trifecta,.50,,2.49,5-1-4,39075.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AQU,03/22/2026,2,Thoroughbred,8.00,,Dirt,,Main Course,Maiden Special Weight,,,,3 year olds & up,Y,75000,,,,,5,Fast,Clear,1:45,,,,23.180,46.750,71.810,84.800,,98.200,268324,40,,1,1,,,,,,,,,,,,,Stanicky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,PrivVet - Illness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daily Double,1.00,,1.68,5-3,58634.00,Exacta,1.00,,10.10,3-4,84650.00,Quinella,1.00,,9.62,3-4,5322.00,Superfecta,.10,,3.42,3-4-6-1,27651.00,Trifecta,.50,,12.44,3-4-6,45627.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AQU,03/22/2026,2,Thoroughbred,8.00,,Dirt,,Main Course,Maiden Special Weight,,,,3 year olds & up,Y,75000,,,,,5,Fast,Clear,1:45,,,,23.180,46.750,71.810,84.800,,98.200,268324,40,,1,1,,,,,,,,,,,,,Probability,4,H,L,,126,,41250,3,,0.6,0.59,Y,,3.18,2.1,2.1,2,2,1,1,1,,1,1,1,,,,,,,"in hand ins, edged clr",Amelia,J.,Green,Jaime,,Rodriguez,,The Elkstone Group LLC (Stuart Grant),,,,,,,,AQU,02/27/2026,2,2,"coaxed st, up 3/4p, in hand ins, 2w 1/4p, edged clear",Improbable,Perazzi,Curlin,04/18/2022,NY,,,,,"Spruce Lane Farm, William R. Conley Jr. Thoroughbreds, Becker Bloodstock, et al.",CH,138976,977229,,,,,,,,,,,,,,,Daily Double,1.00,,1.68,5-3,58634.00,Exacta,1.00,,10.10,3-4,84650.00,Quinella,1.00,,9.62,3-4,5322.00,Superfecta,.10,,3.42,3-4-6-1,27651.00,Trifecta,.50,,12.44,3-4-6,45627.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AQU,03/22/2026,2,Thoroughbred,8.00,,Dirt,,Main Course,Maiden Special Weight,,,,3 year olds & up,Y,75000,,,,,5,Fast,Clear,1:45,,,,23.180,46.750,71.810,84.800,,98.200,268324,40,,1,1,,,,,,,,,,,,,Mo Curls,3,G,L,Blinkers,120,,15000,4,,10,16.35,,,,6.84,3,3,3,2,2,2,,2,2,2,.10,1.00,.50,,3.00,3.00,"chased 2p, willingly",Rudy,R.,Rodriguez,Ruben,,Silvera,,"Rodriguez, Rudy R. and Winner's Circle Thoroughbreds and Racing",,,,,,,,AQU,02/14/2026,10,6,"coaxed st, led early, chased 2p, angled 3w upper, ran on, willing",Solomini,Circus Life,More Than Ready,03/06/2023,NY,,,,,"Henry Freeburn, Lance Freeburn, Tim Hurlock & Raymond DeStafano",DK B/,143555,273125,,,,,,,,,,,,,,,Daily Double,1.00,,1.68,5-3,58634.00,Exacta,1.00,,10.10,3-4,84650.00,Quinella,1.00,,9.62,3-4,5322.00,Superfecta,.10,,3.42,3-4-6-1,27651.00,Trifecta,.50,,12.44,3-4-6,45627.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AQU,03/22/2026,2,Thoroughbred,8.00,,Dirt,,Main Course,Maiden Special Weight,,,,3 year olds & up,Y,75000,,,,,5,Fast,Clear,1:45,,,,23.180,46.750,71.810,84.800,,98.200,268324,40,,1,1,,,,,,,,,,,,,Power Speed,3,C,L,,120,,9000,6,,2,1.89,,,,,2.1,5,1,3,4,3,,3,3,3,1.60,2.00,2.00,,4.50,7.50,"chased 3w, wknd late",Todd,A.,Pletcher,Kendrick,,Carmouche,,Tagermeen Racing,,,,,,,,AQU,02/04/2026,8,4,"coaxed st, chased 3w, coaxed 3/8, 5w upper, wknd late",Yaupon,Frosty Margarita,Frost Giant,03/20/2023,NY,,,,,Gabrielle Farm & Saratoga Glen Farm,DK B/,82464,114342,,,,,,,,,,,,,,,Daily Double,1.00,,1.68,5-3,58634.00,Exacta,1.00,,10.10,3-4,84650.00,Quinella,1.00,,9.62,3-4,5322.00,Superfecta,.10,,3.42,3-4-6-1,27651.00,Trifecta,.50,,12.44,3-4-6,45627.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
