field,name,type,maxLength,comments,hasOptions
1,Track,text,3,2 or 3 character Equibase Track Code,
2,Date,date,10,"Format: mm/dd/yyyy; Example: 04/02/2005 = April 2, 2005",
3,Race Number,integer,,,
4,Breed of Race,text,2,TB = Thoroughbred; QH = Quarter Horse; AR = Arabian; MX = Mixed Breed,Y
5,Distance,decimal,,Distance in Furlongs; Format: #.##; Example: 6.50 = 6 1/2 furlongs; 1 mile 40 yards = 8.18; 2 miles 40 yards = 16.18; 1 mile 70 yards = 8.32; 2 miles 70 yards = 16.32,
6,About Distance Indicator,text,1,Y = About Distance; Otherwise Blank,
7,Surface,text,1,D = Dirt; T = Turf; P = PolyTrack,Y
8,Off Turf Indicator,text,1,Y = Race was moved off the turf; Otherwise Blank,
9,Course Type,text,1,"M = Main Course; I = Inner Course; O = Outer Course; H = Hurdles Course; S = Steeplechase Course; Tracks with Inner Courses include Aqu, Bel, Sar, Wo and Cnl; Tracks with Outer Courses include Cnl; Except for Cnl, the Outer Courses for all other tracks are listed as 'M' for Main",Y
10,Race Type,text,5,ALW = Allowance; AOC = Allowance Optional Claiming; CLH = Claiming Handicap; CLM = Claiming; CST = Claiming Stake; HCP = Handicap; MAT = Match; MCL = Maiden Claiming; MOC = Maiden Optional Claiming; MST = Maiden Stakes; MSW = Maiden Special Weight; OCH = Optional Claiming Handicap; OCL = Optional Claiming; OCS = Optional Claiming Stakes; SHP = Starter Handicap; SST = Starter Stakes; STK = Stakes; STR = Starter Allowance; TRL = Trial,Y
11,Abbreviated Race Conditions,text,20,,
12,Race Name,text,120,,
13,Sex Restriction,text,1,"A = Colts & Geldings; B = Fillies & Mares; C = Colts; D = Colts & Fillies; E = Fillies & Geldings; F = Fillies; G = Geldings; H = Horses; I = Colts, Geldings & Horses; J = Geldings & Horses; M = Mares; R = Ridglings; Blank = No Sex Restrictions",Y
14,Age Restriction,text,2,"02 = 2 year olds; 03 = 3 year olds; 04 = 4 year olds; 05 = 5 year olds; 06 = 6 year olds; 07 = 7 year olds; 08 = 8 year olds; 09 = 9 year olds; 23 = 2 & 3 year olds; 24 = 2, 3 & 4 year olds; 2U = 2 year olds & up; 34 = 3 & 4 year olds; 35 = 3, 4 & 5 year olds; 36 = 3, 4, 5 & 6 year olds; 3U = 3 year olds & up; 45 = 4 & 5 year olds; 46 = 4, 5 & 6 year olds; 47 = 4, 5, 6 & 7 year olds; 4U = 4 year olds & up; 56 = 5 & 6 year olds; 57 = 5, 6 & 7 year olds; 58 = 5, 6, 7 & 8 year olds; 59 = 5, 6, 7, 8 & 9 year olds; 5U = 5 year olds & up; 67 = 6 & 7 year olds; 68 = 6, 7 & 8 year olds; 69 = 6, 7, 8 & 9 year olds; 6U = 6 year olds & up; 78 = 7 & 8 year olds; 79 = 7, 8 & 9 year olds; 7U = 7 year olds & up; 8U = 8 year olds & up; 9U = 9 year olds & up; Blank = No Age Restriction",Y
15,Statebred Restriction,text,1,Y = Restricted to Statebred horses; Otherwise Blank,
16,Purse,integer,,In US Dollars,
17,Maximum Claiming Price,integer,,"In US Dollars - Maximum Claiming Price a horse can be entered for; In Starter Races, the claiming price eligibility requirement",
18,Minimum Claiming Price,integer,,In US Dollars - Minimum Claiming Price a horse can be entered for,
19,Grade,text,1,1 = Grade 1; 2 = Grade 2; 3 = Grade 3; Otherwise Blank,Y
20,Division,text,1,,
